2. What Is Your Location Called?,"3. What Kind Of Location Do You Want ? You Can Combine By Clicking 3 Elements, (Or More For Higher Pledges)",4. Describe Your Location,5. What Terrain Do You Want Your Location To Appear In,"5.B. If Other, Add Details",7. Which Biomes Would Suit Your Location,"9. Style Of Your Location (If Applicable, Choose Up To 2)","9.B. Using The Key Ideas Of The Styles Given, You Can Add Some Flourish?","9.C. If Other, Add Details",10. What Text Do You Want To Appear In The Document For This Location? (2 Paragraph Maximum),11. Which Map Do You Want This To Appear On?,12. Will Your Location Be Hidden On The Player Maps?,Anything To Add?
Dungeon Watch,surrounding Someone Elses Location | tower/guard post | Dungeon Entrance/Exit,"Palisade walls surrounding <Someone Else's Location> a dungeon, attempting to prevent entry.",Plains / Grassland | Hills/Cliffs,No response,Any of the Above,European (Grey stone) | Aztec (Orange Stone),Wood instead of stone.,No response,This outpost guards the entrance to the nearby dungeon.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
The Crimson Scars Hideout,Tents | surround with trees | Ruins,Some tents hidden in some ruins out of the way.,Plains / Grassland | Taiga / Steppe | Forest - Boreal or Temperate | Forest - Jungle or Rainforest | Swamp / Mangroves | Hills/Cliffs | Mountains,No response,Any of the Above,Abandoned/Ruins | Native (tents),No response,No response,"The central hideout for The Crimson Scars, an outlawed bandit gang led by the elusive Bayden Monteagle. These bandits show a level of intelligence above common thugs and have spies in the local towns and cities. The spies relay information concerning local merchant’s activities, so they know which scores to take, and when. They are also rumoured to have links with the local militia who they share information with in order to dampen the threats of rival outlaws.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","No, My location is hidden from players, only for GMs",No response
Whispering Grove,Monolith/statue/totem | surround with trees | Dungeon Entrance/Exit,"A grove of trees surround an ancient statue which stands alone, so old and covered in moss it might be mistaken for one of the trees. The statue seems to watch over the dungeon entrance nearby; nothing more than a hole in the ground but no doubt home to foul evils.",Forest - Boreal or Temperate | Forest - Jungle or Rainforest | Mountains,No response,Any of the Above,European (Grey stone) | Abandoned/Ruins,No response,No response,"Looking closely at the moss covered statue at the edge of this clearing might reveal a armored knight, while others clearly see a wise wizard with a spell book in this right hand; who ever carved this statue is long dead, and the elements have long since worn away the fine details that made it breathtaking to behold. Only one thing remains clear: the guardian seems to stare resolutely across the clearing to the hole in the earth, seemingly prepared for whatever may come forth. Listening at the dark void will reveal nothing of what lives below, but a foul stench will threaten to overwhelm even the hardiest of adventurers. The grove gets its name from the rumors that on a cold night a true hero can hear the statue whisper advice or perhaps foretell the end of the world, but other say this is simply wind rushing from the dungeon like a dead man's last breath. The locals speak of this place in hushed tones, though the reason to do so has also been forgotten.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","No, My location is hidden from players, only for GMs",No response
Tiller,tower/guard post,"A tall, lone tower, with big door and a Window Shaped like a capital T above the entrance.",Plains / Grassland | Forest - Boreal or Temperate,No response,"Cooler Temperate Zone (minus winters, 20.c summers",No response,No response,No response,Home to the old master Kurow. Many a treasure have ended up here.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
Mountain Tea House,No response,A mountain top tea house or resting house,Mountains,No response,"Arctic or Arctic Fringes ( minus winters, 0-5.c summers | Cooler Temperate Zone (minus winters, 20.c summers",European (Grey stone) | Asian (White Stone),No response,No response,A warm place to stop and rest.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
,,,,,,,,,,,,
Zyggar,Village size+1 | Monolith/statue/totem | tower/guard post,"A dense forest area, in the center is a large stone titan statue protected by a clearing and towers.",Forest - Boreal or Temperate,The nearby town worships and protects the rock titan.,"Mid Range (o.c winters, 30.c summers)",European (Grey stone),The Zyggar area is on hills or near mountains and can point to a specific location or a gate keeper for another area.,No response,Zyggar Titan,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","No, My location is hidden from players, only for GMs",No response
,,,,,,,,,,,,
Crystal Tomb,Monolith/statue/totem,Looks like a very large inverted (narrow at the bottom wider toward top) crystal In the middle of water lake/sea by its self with nothing around it for a good distance.,Lake / Sea,No response,"Mid Range (o.c winters, 30.c summers)",Abandoned/Ruins,No response,No response,A tomb of the unknown.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","Yes, My place is public Knowledge, anyone can find it",I would like this to be a place that makes GM’s and players both look at it and say “What’s that? What’s there? Let’s go find out.” For GM’s to be able to use the sight to have a random dungeon in/below/around.
Kings’ End,Sign / road marker | Monolith/statue/totem | Ruins,A haunted long abandoned site,Plains / Grassland | Taiga / Steppe | Forest - Boreal or Temperate | Forest - Jungle or Rainforest | Swamp / Mangroves | Mountains,No response,Any of the Above,Abandoned/Ruins,No response,No response,The spot where the great king Panven II met a rather gruesome end.,"The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
Pottsfield,Village size+1 | Farms | Fields,A secluded town that specializes in crop growing. Every year there is a celebration for the harvest.,Plains / Grassland | Forest - Boreal or Temperate | Hills/Cliffs,No response,"Cooler Temperate Zone (minus winters, 20.c summers | Mid Range (o.c winters, 30.c summers) | Warmer climates (10.c winters, 40.c summers)",European (Grey stone),Pumpkin patch,No response,"This small community is a secluded little piece of land, not aware of the outside world. It is not sure if this town holds a secret about everlasting life but rumors have been floating around that this town is mainly comprised of the undead that only appear during the harvest.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","No, My location is hidden from players, only for GMs",No response
Crookhall Asylum,surround with trees | Abandonded... <insert here>,Abandoned mental asylum surrounded by weeping willows and maple trees,Coastal | Hills/Cliffs,No response,Any of the Above,European (Grey stone) | Abandoned/Ruins,"Hi-Lo walls, iron gates, barred windows, cemetery",No response,"The abandoned ruins of Crookhall Asylum the oldest known asylum. In operation for over 600 years. At its peak it housed around 380 inhabitants. Many gruesome “cures” were used here and many current treatments have their origins within these walls. A bloody riot by the women inhabitants, saw the destruction of the asylum.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map","Yes, My place is public Knowledge, anyone can find it",No response
Tancoco,Monolith/statue/totem | surround with trees | Temple,An Aztec or Mayan style jungle temple,Forest - Jungle or Rainforest,No response,"Tropical (20.c winters, 45.c summers)",Aztec (Orange Stone),"This is a south American Aztec or Mayan style temple with isolated people. It is a dangerous jungle thick with mystical creatures. There are also wild jungle animals like Jaguars and parrots. Like the Aztecs, they are feared for their powerful armies and human sacrifices.",No response,"Though this jungle is an irresistible temptation to scientists and adventurers alike, the brutality of the harsh environment is matched only by the civilization that has made home in its heart. Tales of those who have returned are full of powerful warriors and mystical ceremonies to appease a pantheon of blood thirsty gods. Though these scarred survivors warn others not to make the same mistake they did, the jungles mysteries continue to lure in new prey.","The Original Map, Sepia and Coloured | The Re-Skinned Map | The Kingdom Death Monster / Cataclyzm Map | Future Maps (If you have increased your pledge)","Yes, My place is public Knowledge, anyone can find it",No response
